player_id, last_name, first_name, age, country, team_name
BuZz, Yu, Byung-chul, 21, South Korea, DRX
MaKo, Kim, Myeong-kwan, 22, South Korea, DRX
Foxy9, Jung, Jae-sung, 19, South Korea, DRX
BeYn, Kang, Ha-bin, 20, South Korea, DRX
Flashback, Cho, Min-hyuk, 18, South Korea, DRX
CHICHOO, Wan, Shunzhi, 20, China, EDWard Gaming
nobody, Wang, Senxu, 21, China, EDWard Gaming
ZmjjKK, Zheng, Yongkang, 20, China, EDWard Gaming
Smoggy, Zhang, Zhao, 22, China, EDWard Gaming
S1Mon, Hsieh, Meng-hsun, 20, Taiwan, EDWard Gaming 
MrFaliN, Yeğen, Furkan, 23, Turkey, FUT Esports
qRaxs, Balaban, Doğukan, 24, Turkey, FUT Esports
ATA KAPTAN, Tan, Ata, 23, Turkey, FUT Esports
yetujey, Budak, Eray, 18, Turkey, FUT Esports
cNed, İpek, Mehmet Yağız, 22, Turkey, FUT Esports
Boaster, Howlett, Jake, 29, United Kingdom, Fnatic
Derke, Sirmitev, Nikita, 21, Findland, Fnatic
Alfajer, Beder, Emir Ali, 19, Turkey, Fnatic
Chronicle, Khromov, Timofey, 21, Russia, Fnatic
hiro, Kat, Emirhan, 18, Netherlands, Fnatic
trent, Cairns, Trent, 19, United States, G2 Esports
valyn, Batio, Jacob, 21, United States, G2 Esports
leaf, Orf, Nathan, 20, United States, G2 Esports
icy, Lange, Jacob, 21, United States, G2 Esports
JonahP, Pulice, Jonah, 24, Canada, G2 Esports
mindfreak, Leonhart, Aaron, 24, Indonesia, Paper Rex
f0rsakeN, Susanto, Jason, 20, Indonesia, Paper Rex
d4v41, Rusyaidee, Khalish, 25, Malaysia, Paper Rex
something, Petrov, Ilia, 22, Russia, Paper Rex
Jinggg, Wang, Jing Jie, 21, Singapore, Paper Rex
zekken, Patrone, Zachary, 19, United States, Sentinels
Sacy, Rossi, Gustavo, 26, Brazil, Sentinels
TenZ, Ngo, Tyson, 23, Canada, Sentinels
johnqt, Ouarid, Amine, 25, Morocco, Sentinels
Zellsis, Montemurro, Jordan, 26, United States, Sentinels
Xeppaa, Bach, Erick, 24, United States, Cloud9
mitch, Semago, Mitch, 28, United States, Cloud9
xeta, Son, Seon-ho, 27, South Korea, Cloud9
curry, Nemani, Rahul, 22, United States, Cloud9
yay, Whiteaker, Jaccob, 26, United States, Cloud9
Bearshark, Balcita, Vienn, 19, Puerto Rico, Dattebayo
EvilC, Ang, Clive, 18, Singapore, Dattebayo
Bicu, Uy, Brent, 19, United Arab Emirates, Dattebayo
DisplayHaro, Caliboso, Roemer, 20, Cuba, Dattebayo
nTony, Baybayon, Anthony, 19, Australia, Dattebayo 
SkibidiMagnet, Dimaunahan, Sean Kyle, 19, India, Tangkeko Nation
MeganDsalg, Dasal, Megan, 20, Japan, Tangkeko Nation
Jobulus, Lozada, Job, 19, United Kingdom, Tangkeko Nation
kishako, Cu, Monica, 19, Uzbekistan, Tangkeko Nation
lakambiini, Senas, Kellyn, 19, Switzerland, Tangkeko Nation
